DATE,LMO_Detailed_Industry,Employment
1998-09-01,Primary metal manufacturing,9500
1998-09-01,Private and trades education,2000
1998-09-01,Provincial and territorial public administration,25000
1998-09-01,Publishing industries,9500
1998-09-01,Rail transportation,7250
1998-09-01,Real estate rental and leasing,46000
1998-09-01,"Repair, personal and non-profit services",93000
1998-09-01,Ship and boat building,4250
1998-09-01,Social assistance,57500
1998-09-01,Support activities for agriculture and forestry,9750
1998-09-01,Support activities for mining and oil and gas extraction,6250
1998-09-01,Support activities for transportation,12250
1998-09-01,Telecommunications,25000
1998-09-01,"Transit, sightseeing, and pipeline transportation",250
1998-09-01,Transportation equipment manufacturing (excluding shipbuilding),2250
1998-09-01,Truck transportation,26500
1998-09-01,Universities,24750
1998-09-01,Utilities,12250
1998-09-01,Warehousing and storage,3750
1998-09-01,Water transportation,7750
1998-09-01,Wholesale trade,60000
1998-09-01,Wood product manufacturing,48000
1998-10-01,Accommodation services,34000
1998-10-01,Air transportation,16250
1998-10-01,Ambulatory health care services,54500
1998-10-01,"Amusement, gambling and recreation industries",17500
1998-10-01,"Architectural, engineering and related services",29000
1998-10-01,"Broadcasting, data processing, and information",6250
1998-10-01,"Business, building and other support services",66750
1998-10-01,Community colleges,11500
1998-10-01,Computer systems design and related services,19500
1998-10-01,Construction,122250
1998-10-01,Elementary and secondary schools,69000
1998-10-01,Fabricated metal product manufacturing,13000
1998-10-01,Farms,9750
1998-10-01,Federal government public administration,27500
1998-10-01,Finance,35250
1998-10-01,"Fishing, hunting and trapping",3750
1998-10-01,Food services and drinking places,109000
1998-10-01,"Food, beverage and tobacco manufacturing",3250
1998-10-01,Forestry and logging,21750
1998-10-01,Health and personal care stores,20500
1998-10-01,Heritage institutions,2500
1998-10-01,Hospitals,69000
1998-10-01,Insurance carriers and related activities,24500
1998-10-01,"Legal, accounting, design, research, and advertising services",19500
1998-10-01,Local and Indigenous public administration,750
1998-10-01,Machinery manufacturing,11750
1998-10-01,"Management, scientific and technical consulting services",15250
1998-10-01,Mining,7250
1998-10-01,Motion picture and sound recording industries,4250
1998-10-01,Motor vehicle and parts dealers,20250
1998-10-01,Nursing and residential care facilities,28000
1998-10-01,Oil and gas extraction,3250
1998-10-01,Other manufacturing,8250
1998-10-01,Other retail trade (excluding cars and personal care) ,13500
1998-10-01,Paper manufacturing,22500
1998-10-01,"Performing arts, spectator sports and related industries",20250
1998-10-01,"Postal service, couriers and messengers",8500
1998-10-01,Primary metal manufacturing,7000
1998-10-01,Private and trades education,2000
1998-10-01,Provincial and territorial public administration,26250
1998-10-01,Publishing industries,12000
1998-10-01,Rail transportation,9500
1998-10-01,Real estate rental and leasing,50750
1998-10-01,"Repair, personal and non-profit services",93750
1998-10-01,Ship and boat building,2750
1998-10-01,Social assistance,55750
1998-10-01,Support activities for agriculture and forestry,9500
1998-10-01,Support activities for mining and oil and gas extraction,5500
1998-10-01,Support activities for transportation,13250
1998-10-01,Telecommunications,26250
1998-10-01,"Transit, sightseeing, and pipeline transportation",0
1998-10-01,Transportation equipment manufacturing (excluding shipbuilding),2500
1998-10-01,Truck transportation,26500
1998-10-01,Universities,25500
1998-10-01,Utilities,13000
1998-10-01,Warehousing and storage,3500
1998-10-01,Water transportation,8000
1998-10-01,Wholesale trade,61500
1998-10-01,Wood product manufacturing,46250
1998-11-01,Accommodation services,28750
1998-11-01,Air transportation,16500
1998-11-01,Ambulatory health care services,52250
1998-11-01,"Amusement, gambling and recreation industries",16250
1998-11-01,"Architectural, engineering and related services",32750
1998-11-01,"Broadcasting, data processing, and information",4500
1998-11-01,"Business, building and other support services",60250
1998-11-01,Community colleges,9750
1998-11-01,Computer systems design and related services,20250
1998-11-01,Construction,125250
1998-11-01,Elementary and secondary schools,68750
1998-11-01,Fabricated metal product manufacturing,12000
1998-11-01,Farms,9500
1998-11-01,Federal government public administration,32000
1998-11-01,Finance,38250
1998-11-01,"Fishing, hunting and trapping",2000
1998-11-01,Food services and drinking places,113250
1998-11-01,"Food, beverage and tobacco manufacturing",3750
1998-11-01,Forestry and logging,20750
1998-11-01,Health and personal care stores,19500
1998-11-01,Heritage institutions,2250
1998-11-01,Hospitals,69750
1998-11-01,Insurance carriers and related activities,23000
1998-11-01,"Legal, accounting, design, research, and advertising services",19750
1998-11-01,Local and Indigenous public administration,1750
1998-11-01,Machinery manufacturing,10000
1998-11-01,"Management, scientific and technical consulting services",17250
1998-11-01,Mining,9750
1998-11-01,Motion picture and sound recording industries,5500
1998-11-01,Motor vehicle and parts dealers,25000
1998-11-01,Nursing and residential care facilities,28250
1998-11-01,Oil and gas extraction,3750
1998-11-01,Other manufacturing,8750
1998-11-01,Other retail trade (excluding cars and personal care) ,14250
1998-11-01,Paper manufacturing,22750
1998-11-01,"Performing arts, spectator sports and related industries",19250
1998-11-01,"Postal service, couriers and messengers",8500
1998-11-01,Primary metal manufacturing,7500
1998-11-01,Private and trades education,2000
1998-11-01,Provincial and territorial public administration,26500
1998-11-01,Publishing industries,13250
1998-11-01,Rail transportation,8000
1998-11-01,Real estate rental and leasing,45250
1998-11-01,"Repair, personal and non-profit services",94500
1998-11-01,Ship and boat building,2000
1998-11-01,Social assistance,59000
1998-11-01,Support activities for agriculture and forestry,9000
1998-11-01,Support activities for mining and oil and gas extraction,4750
1998-11-01,Support activities for transportation,14000
1998-11-01,Telecommunications,21500
1998-11-01,"Transit, sightseeing, and pipeline transportation",250
1998-11-01,Transportation equipment manufacturing (excluding shipbuilding),3000
1998-11-01,Truck transportation,24250
1998-11-01,Universities,24250
1998-11-01,Utilities,13000
1998-11-01,Warehousing and storage,5500
1998-11-01,Water transportation,7500
1998-11-01,Wholesale trade,56750
1998-11-01,Wood product manufacturing,47500
1998-12-01,Accommodation services,32500
1998-12-01,Air transportation,18000
1998-12-01,Ambulatory health care services,53500
1998-12-01,"Amusement, gambling and recreation industries",18250
1998-12-01,"Architectural, engineering and related services",31000
1998-12-01,"Broadcasting, data processing, and information",5000
1998-12-01,"Business, building and other support services",57250
1998-12-01,Community colleges,9000
1998-12-01,Computer systems design and related services,20500
1998-12-01,Construction,116000
1998-12-01,Elementary and secondary schools,71750
1998-12-01,Fabricated metal product manufacturing,11000
1998-12-01,Farms,9250
1998-12-01,Federal government public administration,30500
1998-12-01,Finance,38500
1998-12-01,"Fishing, hunting and trapping",2000
1998-12-01,Food services and drinking places,116750
1998-12-01,"Food, beverage and tobacco manufacturing",4000
1998-12-01,Forestry and logging,20500
1998-12-01,Health and personal care stores,23000
1998-12-01,Heritage institutions,2500
1998-12-01,Hospitals,70250
1998-12-01,Insurance carriers and related activities,23500
1998-12-01,"Legal, accounting, design, research, and advertising services",17750
1998-12-01,Local and Indigenous public administration,1250
1998-12-01,Machinery manufacturing,9250
1998-12-01,"Management, scientific and technical consulting services",21250
1998-12-01,Mining,9250
1998-12-01,Motion picture and sound recording industries,6500
1998-12-01,Motor vehicle and parts dealers,21500
1998-12-01,Nursing and residential care facilities,29250
1998-12-01,Oil and gas extraction,3500
1998-12-01,Other manufacturing,8000
1998-12-01,Other retail trade (excluding cars and personal care) ,16000
1998-12-01,Paper manufacturing,23500
1998-12-01,"Performing arts, spectator sports and related industries",17500
1998-12-01,"Postal service, couriers and messengers",10750
1998-12-01,Primary metal manufacturing,7000
1998-12-01,Private and trades education,2500
1998-12-01,Provincial and territorial public administration,25750
1998-12-01,Publishing industries,11000
1998-12-01,Rail transportation,10000
1998-12-01,Real estate rental and leasing,45250
1998-12-01,"Repair, personal and non-profit services",92500
1998-12-01,Ship and boat building,2500
1998-12-01,Social assistance,57000
1998-12-01,Support activities for agriculture and forestry,7500
1998-12-01,Support activities for mining and oil and gas extraction,3500
1998-12-01,Support activities for transportation,13250
1998-12-01,Telecommunications,20000
1998-12-01,"Transit, sightseeing, and pipeline transportation",0
1998-12-01,Transportation equipment manufacturing (excluding shipbuilding),2750
1998-12-01,Truck transportation,24250
1998-12-01,Universities,22250
1998-12-01,Utilities,12250
1998-12-01,Warehousing and storage,5500
1998-12-01,Water transportation,6500
1998-12-01,Wholesale trade,56750
1998-12-01,Wood product manufacturing,46000
1999-01-01,Accommodation services,35750
1999-01-01,Air transportation,19500
1999-01-01,Ambulatory health care services,49750
1999-01-01,"Amusement, gambling and recreation industries",20500
1999-01-01,"Architectural, engineering and related services",23500
1999-01-01,"Broadcasting, data processing, and information",5000
1999-01-01,"Business, building and other support services",62500
1999-01-01,Community colleges,11750
1999-01-01,Computer systems design and related services,26250
1999-01-01,Construction,111000
1999-01-01,Elementary and secondary schools,74500
1999-01-01,Fabricated metal product manufacturing,12000
1999-01-01,Farms,9750
1999-01-01,Federal government public administration,34500
1999-01-01,Finance,37750
1999-01-01,"Fishing, hunting and trapping",3000
1999-01-01,Food services and drinking places,114250
1999-01-01,"Food, beverage and tobacco manufacturing",4500
1999-01-01,Forestry and logging,19000
1999-01-01,Health and personal care stores,24750
1999-01-01,Heritage institutions,1750
1999-01-01,Hospitals,68750
1999-01-01,Insurance carriers and related activities,23250
1999-01-01,"Legal, accounting, design, research, and advertising services",16500
1999-01-01,Local and Indigenous public administration,1250
1999-01-01,Machinery manufacturing,8000
1999-01-01,"Management, scientific and technical consulting services",21500
1999-01-01,Mining,12250
1999-01-01,Motion picture and sound recording industries,9750
1999-01-01,Motor vehicle and parts dealers,18250
1999-01-01,Nursing and residential care facilities,23250
1999-01-01,Oil and gas extraction,1000
1999-01-01,Other manufacturing,6500
1999-01-01,Other retail trade (excluding cars and personal care) ,11500
1999-01-01,Paper manufacturing,22500
1999-01-01,"Performing arts, spectator sports and related industries",16250
1999-01-01,"Postal service, couriers and messengers",10250
1999-01-01,Primary metal manufacturing,9250
1999-01-01,Private and trades education,1500
1999-01-01,Provincial and territorial public administration,29250
1999-01-01,Publishing industries,10250
1999-01-01,Rail transportation,10000
1999-01-01,Real estate rental and leasing,44000
1999-01-01,"Repair, personal and non-profit services",106500
1999-01-01,Ship and boat building,2500
1999-01-01,Social assistance,45250
1999-01-01,Support activities for agriculture and forestry,5500
1999-01-01,Support activities for mining and oil and gas extraction,4250
1999-01-01,Support activities for transportation,15250
1999-01-01,Telecommunications,18500
1999-01-01,"Transit, sightseeing, and pipeline transportation",1000
1999-01-01,Transportation equipment manufacturing (excluding shipbuilding),3250
1999-01-01,Truck transportation,22250
1999-01-01,Universities,21500
1999-01-01,Utilities,11000
1999-01-01,Warehousing and storage,4000
1999-01-01,Water transportation,4000
1999-01-01,Wholesale trade,76000
1999-01-01,Wood product manufacturing,43250
1999-02-01,Accommodation services,36000
1999-02-01,Air transportation,20500
1999-02-01,Ambulatory health care services,51750
1999-02-01,"Amusement, gambling and recreation industries",22000
1999-02-01,"Architectural, engineering and related services",20750
1999-02-01,"Broadcasting, data processing, and information",4250
1999-02-01,"Business, building and other support services",60000
1999-02-01,Community colleges,14000
1999-02-01,Computer systems design and related services,29250
1999-02-01,Construction,110000
1999-02-01,Elementary and secondary schools,72500
1999-02-01,Fabricated metal product manufacturing,11750
1999-02-01,Farms,10750
1999-02-01,Federal government public administration,34000
1999-02-01,Finance,39250
1999-02-01,"Fishing, hunting and trapping",2250
1999-02-01,Food services and drinking places,111750
1999-02-01,"Food, beverage and tobacco manufacturing",4250
1999-02-01,Forestry and logging,22250
1999-02-01,Health and personal care stores,18750
1999-02-01,Heritage institutions,1000
1999-02-01,Hospitals,67000
1999-02-01,Insurance carriers and related activities,22000
1999-02-01,"Legal, accounting, design, research, and advertising services",16750
1999-02-01,Local and Indigenous public administration,1250
1999-02-01,Machinery manufacturing,6500
1999-02-01,"Management, scientific and technical consulting services",23250
1999-02-01,Mining,12500
1999-02-01,Motion picture and sound recording industries,10500
1999-02-01,Motor vehicle and parts dealers,17750
1999-02-01,Nursing and residential care facilities,26000
1999-02-01,Oil and gas extraction,2000
1999-02-01,Other manufacturing,7750
1999-02-01,Other retail trade (excluding cars and personal care) ,13250
1999-02-01,Paper manufacturing,23250
1999-02-01,"Performing arts, spectator sports and related industries",17250
1999-02-01,"Postal service, couriers and messengers",10750
1999-02-01,Primary metal manufacturing,8750
1999-02-01,Private and trades education,2000
1999-02-01,Provincial and territorial public administration,30500
1999-02-01,Publishing industries,11000
1999-02-01,Rail transportation,8500
1999-02-01,Real estate rental and leasing,46750
1999-02-01,"Repair, personal and non-profit services",104250
1999-02-01,Ship and boat building,2750
1999-02-01,Social assistance,47250
1999-02-01,Support activities for agriculture and forestry,4250
1999-02-01,Support activities for mining and oil and gas extraction,5000
1999-02-01,Support activities for transportation,18500
1999-02-01,Telecommunications,18250
1999-02-01,"Transit, sightseeing, and pipeline transportation",750
1999-02-01,Transportation equipment manufacturing (excluding shipbuilding),3250
1999-02-01,Truck transportation,21750
1999-02-01,Universities,22750
1999-02-01,Utilities,11000
1999-02-01,Warehousing and storage,4750
1999-02-01,Water transportation,3500
1999-02-01,Wholesale trade,74750
1999-02-01,Wood product manufacturing,45000
1999-03-01,Accommodation services,35750
1999-03-01,Air transportation,19750
1999-03-01,Ambulatory health care services,53000
1999-03-01,"Amusement, gambling and recreation industries",21750
1999-03-01,"Architectural, engineering and related services",24250
1999-03-01,"Broadcasting, data processing, and information",5750
1999-03-01,"Business, building and other support services",62000
1999-03-01,Community colleges,12500
1999-03-01,Computer systems design and related services,29500
1999-03-01,Construction,110500
1999-03-01,Elementary and secondary schools,70750
1999-03-01,Fabricated metal product manufacturing,13750
1999-03-01,Farms,11000
1999-03-01,Federal government public administration,33750
1999-03-01,Finance,39500
1999-03-01,"Fishing, hunting and trapping",4250
1999-03-01,Food services and drinking places,114000
1999-03-01,"Food, beverage and tobacco manufacturing",3250
1999-03-01,Forestry and logging,19500
1999-03-01,Health and personal care stores,18750
1999-03-01,Heritage institutions,750
1999-03-01,Hospitals,66250
1999-03-01,Insurance carriers and related activities,22250
1999-03-01,"Legal, accounting, design, research, and advertising services",16500
1999-03-01,Local and Indigenous public administration,1000
1999-03-01,Machinery manufacturing,5000
1999-03-01,"Management, scientific and technical consulting services",21750
1999-03-01,Mining,13250
1999-03-01,Motion picture and sound recording industries,10000
1999-03-01,Motor vehicle and parts dealers,19250
1999-03-01,Nursing and residential care facilities,23750
1999-03-01,Oil and gas extraction,1250
1999-03-01,Other manufacturing,7500
1999-03-01,Other retail trade (excluding cars and personal care) ,14750
1999-03-01,Paper manufacturing,24750
1999-03-01,"Performing arts, spectator sports and related industries",13750
1999-03-01,"Postal service, couriers and messengers",10500
1999-03-01,Primary metal manufacturing,8500
1999-03-01,Private and trades education,1500
1999-03-01,Provincial and territorial public administration,31500
1999-03-01,Publishing industries,11500
1999-03-01,Rail transportation,9000
1999-03-01,Real estate rental and leasing,43500
1999-03-01,"Repair, personal and non-profit services",102750
1999-03-01,Ship and boat building,1750
1999-03-01,Social assistance,47750
1999-03-01,Support activities for agriculture and forestry,6500
1999-03-01,Support activities for mining and oil and gas extraction,3500
1999-03-01,Support activities for transportation,19750
1999-03-01,Telecommunications,17500
1999-03-01,"Transit, sightseeing, and pipeline transportation",500
1999-03-01,Transportation equipment manufacturing (excluding shipbuilding),3000
1999-03-01,Truck transportation,23000
1999-03-01,Universities,24500
1999-03-01,Utilities,11500
1999-03-01,Warehousing and storage,3500
1999-03-01,Water transportation,4750
1999-03-01,Wholesale trade,72750
1999-03-01,Wood product manufacturing,38750
1999-04-01,Accommodation services,35000
1999-04-01,Air transportation,17000
1999-04-01,Ambulatory health care services,52500
1999-04-01,"Amusement, gambling and recreation industries",27250
1999-04-01,"Architectural, engineering and related services",21500
1999-04-01,"Broadcasting, data processing, and information",5250
1999-04-01,"Business, building and other support services",64250
1999-04-01,Community colleges,15000
1999-04-01,Computer systems design and related services,28250
1999-04-01,Construction,105000
1999-04-01,Elementary and secondary schools,72500
1999-04-01,Fabricated metal product manufacturing,13000
1999-04-01,Farms,11000
1999-04-01,Federal government public administration,33250
1999-04-01,Finance,39750
1999-04-01,"Fishing, hunting and trapping",2000
1999-04-01,Food services and drinking places,119500
1999-04-01,"Food, beverage and tobacco manufacturing",3750
1999-04-01,Forestry and logging,17000
1999-04-01,Health and personal care stores,16500
1999-04-01,Heritage institutions,2250
1999-04-01,Hospitals,62500
1999-04-01,Insurance carriers and related activities,19250
1999-04-01,"Legal, accounting, design, research, and advertising services",17500
1999-04-01,Local and Indigenous public administration,2250
1999-04-01,Machinery manufacturing,6750
1999-04-01,"Management, scientific and technical consulting services",22500
1999-04-01,Mining,11000
1999-04-01,Motion picture and sound recording industries,9750
1999-04-01,Motor vehicle and parts dealers,21500
1999-04-01,Nursing and residential care facilities,23250
1999-04-01,Oil and gas extraction,1750
1999-04-01,Other manufacturing,4500
1999-04-01,Other retail trade (excluding cars and personal care) ,13000
1999-04-01,Paper manufacturing,23750
1999-04-01,"Performing arts, spectator sports and related industries",14500
1999-04-01,"Postal service, couriers and messengers",9250
1999-04-01,Primary metal manufacturing,6750
1999-04-01,Private and trades education,1250
1999-04-01,Provincial and territorial public administration,29000
1999-04-01,Publishing industries,12250
1999-04-01,Rail transportation,8000
1999-04-01,Real estate rental and leasing,40750
1999-04-01,"Repair, personal and non-profit services",106500
1999-04-01,Ship and boat building,1750
1999-04-01,Social assistance,50000
1999-04-01,Support activities for agriculture and forestry,6750
1999-04-01,Support activities for mining and oil and gas extraction,3500
1999-04-01,Support activities for transportation,18500
1999-04-01,Telecommunications,15000
1999-04-01,"Transit, sightseeing, and pipeline transportation",750
1999-04-01,Transportation equipment manufacturing (excluding shipbuilding),3500
1999-04-01,Truck transportation,26500
1999-04-01,Universities,19500
1999-04-01,Utilities,11500
1999-04-01,Warehousing and storage,4750
1999-04-01,Water transportation,5500
1999-04-01,Wholesale trade,77000
1999-04-01,Wood product manufacturing,43250
1999-05-01,Accommodation services,39500
1999-05-01,Air transportation,16250
1999-05-01,Ambulatory health care services,51000
1999-05-01,"Amusement, gambling and recreation industries",23750
1999-05-01,"Architectural, engineering and related services",22250
1999-05-01,"Broadcasting, data processing, and information",5250
1999-05-01,"Business, building and other support services",64500
1999-05-01,Community colleges,13250
1999-05-01,Computer systems design and related services,31750
1999-05-01,Construction,114250
1999-05-01,Elementary and secondary schools,72750
1999-05-01,Fabricated metal product manufacturing,11250
1999-05-01,Farms,12000
1999-05-01,Federal government public administration,31500
1999-05-01,Finance,39750
1999-05-01,"Fishing, hunting and trapping",2000
1999-05-01,Food services and drinking places,108750
1999-05-01,"Food, beverage and tobacco manufacturing",2500
1999-05-01,Forestry and logging,18000
1999-05-01,Health and personal care stores,13750
1999-05-01,Heritage institutions,1500
1999-05-01,Hospitals,63000
1999-05-01,Insurance carriers and related activities,19750
1999-05-01,"Legal, accounting, design, research, and advertising services",18000
1999-05-01,Local and Indigenous public administration,1750
1999-05-01,Machinery manufacturing,8000
1999-05-01,"Management, scientific and technical consulting services",22500
1999-05-01,Mining,9750
1999-05-01,Motion picture and sound recording industries,11000
1999-05-01,Motor vehicle and parts dealers,21750
1999-05-01,Nursing and residential care facilities,28750
1999-05-01,Oil and gas extraction,3000
1999-05-01,Other manufacturing,4750
1999-05-01,Other retail trade (excluding cars and personal care) ,11750
1999-05-01,Paper manufacturing,22250
1999-05-01,"Performing arts, spectator sports and related industries",16000
1999-05-01,"Postal service, couriers and messengers",11500
1999-05-01,Primary metal manufacturing,7000
1999-05-01,Private and trades education,1000
1999-05-01,Provincial and territorial public administration,26250
1999-05-01,Publishing industries,11250
1999-05-01,Rail transportation,9500
1999-05-01,Real estate rental and leasing,45000
1999-05-01,"Repair, personal and non-profit services",109000
1999-05-01,Ship and boat building,2750
1999-05-01,Social assistance,52500
1999-05-01,Support activities for agriculture and forestry,11500
1999-05-01,Support activities for mining and oil and gas extraction,2500
1999-05-01,Support activities for transportation,18000
1999-05-01,Telecommunications,15250
1999-05-01,"Transit, sightseeing, and pipeline transportation",1500
1999-05-01,Transportation equipment manufacturing (excluding shipbuilding),2750
1999-05-01,Truck transportation,29000
1999-05-01,Universities,20000
1999-05-01,Utilities,11500
1999-05-01,Warehousing and storage,3500
1999-05-01,Water transportation,5500
1999-05-01,Wholesale trade,82250
1999-05-01,Wood product manufacturing,43500
1999-06-01,Accommodation services,36500
1999-06-01,Air transportation,17500
1999-06-01,Ambulatory health care services,51750
1999-06-01,"Amusement, gambling and recreation industries",23750
1999-06-01,"Architectural, engineering and related services",23250
1999-06-01,"Broadcasting, data processing, and information",4500
1999-06-01,"Business, building and other support services",64250
1999-06-01,Community colleges,13000
1999-06-01,Computer systems design and related services,30000
1999-06-01,Construction,118000
1999-06-01,Elementary and secondary schools,80500
1999-06-01,Fabricated metal product manufacturing,15500
1999-06-01,Farms,12000
1999-06-01,Federal government public administration,29250
1999-06-01,Finance,35500
1999-06-01,"Fishing, hunting and trapping",4000
1999-06-01,Food services and drinking places,113250
1999-06-01,"Food, beverage and tobacco manufacturing",5000
1999-06-01,Forestry and logging,18000
1999-06-01,Health and personal care stores,10750
1999-06-01,Heritage institutions,3500
1999-06-01,Hospitals,69000
1999-06-01,Insurance carriers and related activities,20500
1999-06-01,"Legal, accounting, design, research, and advertising services",21000
1999-06-01,Local and Indigenous public administration,2500
1999-06-01,Machinery manufacturing,8250
1999-06-01,"Management, scientific and technical consulting services",22750
1999-06-01,Mining,10000
1999-06-01,Motion picture and sound recording industries,13250
1999-06-01,Motor vehicle and parts dealers,21500
1999-06-01,Nursing and residential care facilities,25750
1999-06-01,Oil and gas extraction,2250
1999-06-01,Other manufacturing,6000
1999-06-01,Other retail trade (excluding cars and personal care) ,10750
1999-06-01,Paper manufacturing,22000
1999-06-01,"Performing arts, spectator sports and related industries",16750
1999-06-01,"Postal service, couriers and messengers",8500
1999-06-01,Primary metal manufacturing,9000
1999-06-01,Private and trades education,750
1999-06-01,Provincial and territorial public administration,26500
1999-06-01,Publishing industries,10250
1999-06-01,Rail transportation,9750
1999-06-01,Real estate rental and leasing,47250
1999-06-01,"Repair, personal and non-profit services",108500
1999-06-01,Ship and boat building,1500
1999-06-01,Social assistance,53750
1999-06-01,Support activities for agriculture and forestry,14000
1999-06-01,Support activities for mining and oil and gas extraction,1750
1999-06-01,Support activities for transportation,18500
1999-06-01,Telecommunications,15000
1999-06-01,"Transit, sightseeing, and pipeline transportation",1500
1999-06-01,Transportation equipment manufacturing (excluding shipbuilding),4000
1999-06-01,Truck transportation,30500
1999-06-01,Universities,18250
1999-06-01,Utilities,12250
1999-06-01,Warehousing and storage,4000
1999-06-01,Water transportation,7500
1999-06-01,Wholesale trade,81250
1999-06-01,Wood product manufacturing,44000
1999-07-01,Accommodation services,38000
1999-07-01,Air transportation,21250
1999-07-01,Ambulatory health care services,55250
1999-07-01,"Amusement, gambling and recreation industries",24250
1999-07-01,"Architectural, engineering and related services",23750
1999-07-01,"Broadcasting, data processing, and information",3500
1999-07-01,"Business, building and other support services",72000
1999-07-01,Community colleges,12750
1999-07-01,Computer systems design and related services,27750
1999-07-01,Construction,113500
1999-07-01,Elementary and secondary schools,59000
1999-07-01,Fabricated metal product manufacturing,14500
1999-07-01,Farms,12000
1999-07-01,Federal government public administration,28750
1999-07-01,Finance,35750
1999-07-01,"Fishing, hunting and trapping",5000
1999-07-01,Food services and drinking places,119000
1999-07-01,"Food, beverage and tobacco manufacturing",4500
1999-07-01,Forestry and logging,21000
1999-07-01,Health and personal care stores,11250
1999-07-01,Heritage institutions,4000
1999-07-01,Hospitals,67250
1999-07-01,Insurance carriers and related activities,23250
1999-07-01,"Legal, accounting, design, research, and advertising services",20500
1999-07-01,Local and Indigenous public administration,2000
1999-07-01,Machinery manufacturing,9500
1999-07-01,"Management, scientific and technical consulting services",20250
1999-07-01,Mining,8000
1999-07-01,Motion picture and sound recording industries,12250
1999-07-01,Motor vehicle and parts dealers,25500
1999-07-01,Nursing and residential care facilities,25000
1999-07-01,Oil and gas extraction,1000
1999-07-01,Other manufacturing,7500
1999-07-01,Other retail trade (excluding cars and personal care) ,13750
1999-07-01,Paper manufacturing,20500
1999-07-01,"Performing arts, spectator sports and related industries",18000
1999-07-01,"Postal service, couriers and messengers",11500
1999-07-01,Primary metal manufacturing,10250
1999-07-01,Private and trades education,750
1999-07-01,Provincial and territorial public administration,28750
1999-07-01,Publishing industries,11500
1999-07-01,Rail transportation,9500
1999-07-01,Real estate rental and leasing,43250
1999-07-01,"Repair, personal and non-profit services",110000
1999-07-01,Ship and boat building,3250
1999-07-01,Social assistance,50250
1999-07-01,Support activities for agriculture and forestry,12750
1999-07-01,Support activities for mining and oil and gas extraction,3250
1999-07-01,Support activities for transportation,19250
1999-07-01,Telecommunications,15250
1999-07-01,"Transit, sightseeing, and pipeline transportation",750
1999-07-01,Transportation equipment manufacturing (excluding shipbuilding),3750
1999-07-01,Truck transportation,28250
1999-07-01,Universities,20000
1999-07-01,Utilities,12250
1999-07-01,Warehousing and storage,4250
1999-07-01,Water transportation,9000
1999-07-01,Wholesale trade,76750
1999-07-01,Wood product manufacturing,47000
1999-08-01,Accommodation services,37750
1999-08-01,Air transportation,23250
1999-08-01,Ambulatory health care services,56000
1999-08-01,"Amusement, gambling and recreation industries",23250
1999-08-01,"Architectural, engineering and related services",25000
1999-08-01,"Broadcasting, data processing, and information",4000
1999-08-01,"Business, building and other support services",68750
1999-08-01,Community colleges,14000
1999-08-01,Computer systems design and related services,25750
1999-08-01,Construction,120750
1999-08-01,Elementary and secondary schools,62500
1999-08-01,Fabricated metal product manufacturing,13750
1999-08-01,Farms,11500
1999-08-01,Federal government public administration,33750
1999-08-01,Finance,37250
1999-08-01,"Fishing, hunting and trapping",6750
1999-08-01,Food services and drinking places,118500
1999-08-01,"Food, beverage and tobacco manufacturing",3250
1999-08-01,Forestry and logging,23250
1999-08-01,Health and personal care stores,10750
1999-08-01,Heritage institutions,4750
1999-08-01,Hospitals,67000
1999-08-01,Insurance carriers and related activities,26250
1999-08-01,"Legal, accounting, design, research, and advertising services",21750
1999-08-01,Local and Indigenous public administration,1750
1999-08-01,Machinery manufacturing,9500
1999-08-01,"Management, scientific and technical consulting services",21500
1999-08-01,Mining,5250
1999-08-01,Motion picture and sound recording industries,10500
1999-08-01,Motor vehicle and parts dealers,22000
1999-08-01,Nursing and residential care facilities,24000
1999-08-01,Oil and gas extraction,1250
1999-08-01,Other manufacturing,6750
1999-08-01,Other retail trade (excluding cars and personal care) ,16000
1999-08-01,Paper manufacturing,19750
1999-08-01,"Performing arts, spectator sports and related industries",15500
1999-08-01,"Postal service, couriers and messengers",9500
1999-08-01,Primary metal manufacturing,12750
1999-08-01,Private and trades education,1250
1999-08-01,Provincial and territorial public administration,26250
1999-08-01,Publishing industries,12000
1999-08-01,Rail transportation,7750
1999-08-01,Real estate rental and leasing,44000
1999-08-01,"Repair, personal and non-profit services",106500
1999-08-01,Ship and boat building,3750
1999-08-01,Social assistance,47750
1999-08-01,Support activities for agriculture and forestry,12500
1999-08-01,Support activities for mining and oil and gas extraction,4000
1999-08-01,Support activities for transportation,16750
1999-08-01,Telecommunications,20750
1999-08-01,"Transit, sightseeing, and pipeline transportation",250
1999-08-01,Transportation equipment manufacturing (excluding shipbuilding),4250
1999-08-01,Truck transportation,30000
1999-08-01,Universities,16250
1999-08-01,Utilities,11750
1999-08-01,Warehousing and storage,4000
1999-08-01,Water transportation,9750
1999-08-01,Wholesale trade,81250
1999-08-01,Wood product manufacturing,44750
1999-09-01,Accommodation services,36750
1999-09-01,Air transportation,21750
1999-09-01,Ambulatory health care services,52250
1999-09-01,"Amusement, gambling and recreation industries",21250
1999-09-01,"Architectural, engineering and related services",22000
1999-09-01,"Broadcasting, data processing, and information",3250
1999-09-01,"Business, building and other support services",65750
1999-09-01,Community colleges,17500
1999-09-01,Computer systems design and related services,24000
1999-09-01,Construction,115250
1999-09-01,Elementary and secondary schools,80500
